time,ax,ay,az,gx,gy,gz,mx,my,mz
1734660162.565383,546.6919,-23.132324,887.57324,-11.08551,210.3653,-18.302917,-91.40419,-245.53674,112.30779
1734660162.5694985,509.2163,-34.057617,867.4927,-13.183594,213.20343,-18.608093,-91.40419,-245.53674,112.30779
1734660162.5736074,470.52002,-24.963379,856.5674,-14.3585205,214.3097,-18.745422,-91.40419,-245.53674,112.30779
1734660162.5777874,390.625,34.057617,901.12305,-14.801025,214.59961,-19.15741,-91.40419,-245.53674,112.30779
1734660162.5858586,385.2539,78.79639,929.3823,-16.212463,214.44702,-20.78247,-91.40419,-245.53674,112.30779
1734660162.5900013,384.46045,103.94287,937.43896,-17.585754,213.05084,-21.499634,-91.40419,-245.53674,112.30779
1734660162.5941637,356.2622,106.87256,929.5654,-18.1427,211.21216,-20.385742,-91.40419,-245.53674,112.30779
1734660162.6022816,313.96484,105.651855,937.07275,-17.173767,209.3811,-18.26477,-91.40419,-245.53674,112.30779
1734660162.6063645,265.74707,107.299805,957.4585,-14.404297,207.83997,-15.922546,-91.40419,-245.53674,112.30779
1734660162.6104186,217.22412,108.52051,972.9004,-10.475159,207.05414,-13.313293,-91.40419,-245.53674,112.30779
1734660162.6146498,176.81885,111.572266,961.73096,-6.149292,208.17566,-11.306763,-91.40419,-245.53674,112.30779
1734660162.6228414,162.04834,108.45947,947.937,-2.1438599,212.19635,-10.467529,-91.40419,-245.53674,112.30779
1734660162.6268098,157.40967,102.84424,955.5054,0.9841919,219.18488,-11.947632,-91.40419,-245.53674,112.30779
1734660162.6308978,164.2456,65.30762,934.3262,2.7160645,229.09546,-16.098022,-91.40419,-245.53674,112.30779
1734660162.6391747,239.0747,-67.07764,920.105,5.9890747,249.99237,-26.83258,-91.40419,-245.53674,112.30779
1734660162.6431699,301.69678,-101.867676,908.56934,8.964539,249.99237,-30.11322,-91.40419,-245.53674,112.30779
1734660162.647306,341.00342,-107.788086,914.6118,13.252258,249.99237,-31.784058,-91.40419,-245.53674,112.30779
1734660162.651501,346.25244,-100.03662,932.18994,17.63916,249.99237,-32.829285,-91.40419,-245.53674,112.30779
1734660162.6595786,322.14355,-71.5332,938.3545,20.812988,249.99237,-32.50122,-91.40419,-245.53674,112.30779
1734660162.6637623,273.49854,-17.8833,904.05273,22.43042,248.66486,-30.8609,-91.40419,-245.53674,112.30779
1734660162.6678002,209.28955,18.676758,883.42285,23.719788,234.36737,-27.96936,-91.40419,-245.53674,112.30779
1734660162.6719468,140.625,55.908203,886.4746,24.780273,214.83612,-23.658752,-91.40419,-245.53674,112.30779
1734660162.6760483,78.24707,111.87744,911.74316,24.246216,189.5752,-18.234253,-270.6281,-274.2126,57.0178
1734660162.6841707,46.26465,153.19824,920.3491,21.598816,159.4162,-11.84082,-270.6281,-274.2126,57.0178
1734660162.6883934,30.456543,168.396,918.9453,17.951965,126.26648,-4.4784546,-270.6281,-274.2126,57.0178
1734660162.6923392,12.6953125,170.41016,907.40967,14.015198,92.46826,3.8833618,-270.6281,-274.2126,57.0178
1734660162.6965852,-21.30127,184.99756,883.1177,9.94873,59.883118,12.664795,-270.6281,-274.2126,57.0178
1734660162.7006347,-44.067383,200.43945,866.272,6.225586,30.273438,20.645142,-270.6281,-274.2126,57.0178
1734660162.7088535,-3.3569336,230.83496,878.479,3.1204224,5.088806,26.481628,-270.6281,-274.2126,57.0178
1734660162.7132862,-29.907227,161.86523,898.01025,-0.9384155,-13.565063,29.792786,-270.6281,-274.2126,57.0178
1734660162.7170165,-86.30371,108.52051,890.625,-2.494812,-22.79663,33.317566,-270.6281,-274.2126,57.0178
1734660162.7210777,-146.60645,109.13086,923.2178,-0.75531006,-25.527954,33.477783,-270.6281,-274.2126,57.0178
1734660162.7293005,-157.10449,82.03125,960.2661,-0.030517578,-25.360107,30.067444,-270.6281,-274.2126,57.0178
1734660162.7332668,-117.67578,60.48584,985.1074,0.35095215,-20.874023,25.665283,-270.6281,-274.2126,57.0178
1734660162.7374609,-87.768555,40.039063,967.4072,-0.38909912,-11.734009,20.874023,-270.6281,-274.2126,57.0178
1734660162.7456772,-31.37207,50.78125,946.167,-0.64086914,0.61798096,15.594482,-270.6281,-274.2126,57.0178
1734660162.749744,-3.6621094,25.390625,949.4629,-0.38909912,14.198303,9.44519,-270.6281,-274.2126,57.0178
1734660162.7538836,-5.6152344,-5.6762695,930.78613,1.0375977,28.72467,5.569458,-270.6281,-274.2126,57.0178
1734660162.7580206,-7.2631836,16.357422,925.4761,5.66864,43.33496,2.746582,-270.6281,-274.2126,57.0178
1734660162.7622504,21.911621,14.526367,953.36914,9.712219,54.351807,-1.2664795,-270.6281,-274.2126,57.0178
1734660162.770233,45.776367,-7.2021484,964.2334,12.718201,61.897278,-3.8833618,-270.6281,-274.2126,57.0178
1734660162.7744434,57.678223,8.7890625,941.95557,15.762329,67.89398,-4.295349,-270.6281,-274.2126,57.0178
1734660162.778395,38.879395,19.592285,945.4346,18.074036,71.380615,-4.272461,-270.6281,-274.2126,57.0178
1734660162.7826536,16.418457,36.987305,955.8716,19.737244,71.31195,-3.6621094,-270.6281,-274.2126,57.0178
1734660162.7882695,2.8076172,54.07715,945.1294,20.835876,68.32886,-2.5405884,-270.6281,-274.2126,57.0178
1734660162.7953835,-8.300781,66.345215,935.18066,21.751404,63.171387,-0.91552734,-270.6281,-274.2126,57.0178
1734660162.7988162,-18.920898,77.57568,926.9409,22.42279,56.33545,1.1444092,-270.6281,-274.2126,57.0178
1734660162.8052242,-34.851074,94.177246,929.3823,22.55249,48.13385,3.5476685,-302.8884,-277.79706,32.82843
1734660162.8072104,-50.476074,111.87744,933.95996,22.102356,39.489746,5.8670044,-302.8884,-277.79706,32.82843
1734660162.8154578,-67.0166,126.09863,941.58936,20.889282,31.166077,7.965088,-302.8884,-277.79706,32.82843
1734660162.8193946,-81.17676,137.5122,959.3506,18.89038,23.674011,9.666443,-302.8884,-277.79706,32.82843
1734660162.8234203,-96.92383,146.54541,989.68506,16.426086,17.677307,10.635376,-302.8884,-277.79706,32.82843
1734660162.829598,-104.98047,157.04346,1023.5596,13.450623,13.977051,10.978699,-302.8884,-277.79706,32.82843
1734660162.831843,-109.313965,165.64941,1059.3872,9.391785,12.016296,10.978699,-302.8884,-277.79706,32.82843
1734660162.8398676,-110.16846,161.01074,1069.9463,4.8828125,12.176514,10.810852,-302.8884,-277.79706,32.82843
1734660162.844084,-112.976074,150.5127,1071.9604,1.197815,15.258789,10.238647,-302.8884,-277.79706,32.82843
1734660162.8480253,-113.708496,131.53076,1067.3218,-0.9689331,21.240234,9.483337,-302.8884,-277.79706,32.82843
1734660162.856292,-100.21973,107.84912,1026.3062,-1.4572144,28.953552,8.865356,-302.8884,-277.79706,32.82843
1734660162.863514,1.8920898,144.59229,1007.9956,-0.1296997,37.216187,7.7667236,-302.8884,-277.79706,32.82843
1734660162.8643982,-23.55957,41.3208,972.3511,0.6790161,47.24884,6.996155,-302.8884,-277.79706,32.82843
1734660162.868525,-76.59912,34.118652,929.5654,7.331848,60.5011,10.978699,-302.8884,-277.79706,32.82843
1734660162.8735042,-128.78418,36.56006,932.18994,14.854431,72.66998,11.642456,-302.8884,-277.79706,32.82843
1734660162.8808734,-91.552734,18.981934,941.5283,20.523071,80.63507,9.719849,-302.8884,-277.79706,32.82843
1734660162.884899,19.89746,54.93164,941.5283,24.765015,87.898254,7.331848,-302.8884,-277.79706,32.82843
1734660162.888942,-30.334473,69.885254,893.9209,24.604797,95.4361,5.744934,-302.8884,-277.79706,32.82843
1734660162.8968346,-66.223145,97.351074,909.729,25.901794,102.6535,7.6904297,-302.8884,-277.79706,32.82843
1734660162.901284,-116.33301,139.52637,971.1914,26.145935,109.13086,8.575439,-302.8884,-277.79706,32.82843
1734660162.9013734,-126.15967,137.69531,1043.8232,22.399902,111.67145,7.286072,-302.8884,-277.79706,32.82843
1734660162.9093919,-125.73242,129.6997,1079.5898,16.62445,114.76135,5.4244995,-302.8884,-277.79706,32.82843
1734660162.9134827,-151.67236,119.140625,1092.4683,11.123657,121.33026,4.463196,-302.8884,-277.79706,32.82843
1734660162.917696,-202.02637,133.97217,1145.5688,7.3242188,130.31006,3.5934448,-302.8884,-277.79706,32.82843
1734660162.9287262,-255.92041,117.91992,1179.6875,2.5100708,138.38196,2.1591187,-302.8884,-277.79706,32.82843
1734660162.9299855,-260.9253,87.646484,1187.0728,-2.319336,144.79828,0.31280518,-317.2263,-252.7057,5.1834364
1734660162.9339645,-255.61523,54.504395,1170.227,-6.3171387,153.44238,-2.2583008,-317.2263,-252.7057,5.1834364
1734660162.9381409,-270.1416,39.123535,1154.3579,-7.255554,164.9704,-4.1503906,-317.2263,-252.7057,5.1834364
1734660162.9437835,-310.54688,44.311523,1101.0742,-6.3171387,179.59595,-6.0577393,-317.2263,-252.7057,5.1834364
1734660162.95049,-324.1577,52.91748,1015.5029,-3.5705566,194.25964,-8.750916,-317.2263,-252.7057,5.1834364
1734660162.9549415,-319.82422,60.97412,960.69336,0.39672852,207.96967,-11.21521,-317.2263,-252.7057,5.1834364
1734660162.9585967,-313.78174,64.02588,911.499,3.7155151,218.87207,-12.527466,-317.2263,-252.7057,5.1834364
1734660162.9634786,-307.86133,99.42627,885.376,7.095337,227.0813,-13.092041,-317.2263,-252.7057,5.1834364
1734660162.9669344,-294.67773,115.72266,880.0049,9.063721,231.86493,-13.473511,-317.2263,-252.7057,5.1834364
1734660162.974976,-278.50342,129.39453,890.2588,9.643555,233.29926,-13.717651,-317.2263,-252.7057,5.1834364
1734660162.979183,-266.90674,131.22559,899.7803,8.087158,233.26111,-14.038086,-317.2263,-252.7057,5.1834364
1734660162.9832773,-266.60156,115.600586,916.25977,4.9362183,232.70416,-13.870239,-317.2263,-252.7057,5.1834364
1734660162.9872994,-273.55957,83.740234,917.96875,0.90026855,233.47473,-12.313843,-317.2263,-252.7057,5.1834364
1734660162.9970481,-311.34033,93.322754,933.59375,-2.204895,236.557,-9.628296,-317.2263,-252.7057,5.1834364
1734660162.9995573,-389.16016,129.57764,954.4678,-4.3945313,240.66162,-7.1105957,-317.2263,-252.7057,5.1834364
1734660163.0036962,-452.88086,157.22656,967.65137,-7.8201294,243.78967,-5.92041,-317.2263,-252.7057,5.1834364
1734660163.0078003,-496.76514,184.44824,969.9707,-13.442993,245.14008,-5.92041,-317.2263,-252.7057,5.1834364
1734660163.0160444,-517.0288,198.48633,959.7168,-20.774841,244.33899,-6.011963,-317.2263,-252.7057,5.1834364
1734660163.0227196,-521.9116,208.4961,944.7632,-29.36554,241.53137,-5.9661865,-317.2263,-252.7057,5.1834364
1734660163.0242755,-526.67236,213.1958,907.8369,-39.123535,236.28998,-5.6381226,-317.2263,-252.7057,5.1834364
1734660163.0314245,-556.51855,205.93262,862.3657,-48.7442,228.97339,-5.241394,-317.2263,-252.7057,5.1834364
1734660163.0325522,-598.02246,195.37354,827.2095,-57.006836,219.7876,-5.340576,-317.2263,-252.7057,5.1834364
1734660163.0405116,-637.93945,158.3252,776.85547,-64.68201,209.92279,-6.2332153,-317.2263,-252.7057,5.1834364
1734660163.044574,-668.7012,121.58203,716.3086,-69.96155,200.36316,-7.484436,-317.2263,-252.7057,5.1834364
1734660163.04876,-688.0493,97.229004,679.5044,-71.899414,191.87927,-9.117126,-442.68304,-267.0436,-153.77528
1734660163.0530286,-710.87646,63.415527,638.7329,-70.259094,184.89075,-10.71167,-442.68304,-267.0436,-153.77528
1734660163.0610094,-730.4077,52.734375,628.90625,-66.04767,178.12347,-12.565613,-442.68304,-267.0436,-153.77528
1734660163.0652144,-728.5156,29.174805,650.75684,-62.10327,172.2641,-15.357971,-442.68304,-267.0436,-153.77528
1734660163.0711007,-709.4116,38.024902,677.7954,-59.020996,169.34204,-18.4021,-442.68304,-267.0436,-153.77528
1734660163.0734246,-667.5415,23.742676,681.15234,-56.922913,167.86194,-20.67566,-442.68304,-267.0436,-153.77528
1734660163.0774963,-639.2822,-6.958008,669.7388,-54.893494,166.61072,-21.148682,-442.68304,-267.0436,-153.77528
